Variable,Mean,Std. Dev.,Sign
EAR_lag1 (WoE),-0.620319395973795,0.2534658501185921,$-$
LIQ_lag1 (WoE),-0.47982473470771836,0.288177560939552,$-$
LLR_lag1 (WoE),0.0,0.0,$+$
ROA_lag1 (WoE),-0.44733412614515466,0.23057197341407942,$-$
