Model,Brier,LogLoss,RMSE,AUC,AP,N,Events,Prevalence
LAG,0.019,0.258,0.137,0.87,0.572,107,4,0.037383177570093455
STRUCT,0.023,0.173,0.151,0.775,0.451,107,4,0.037383177570093455
HYBRID,0.025,0.181,0.159,0.757,0.451,107,4,0.037383177570093455
LOGIT,0.036,0.241,0.191,0.686,0.17,107,4,0.037383177570093455
NAIVE,0.037,0.255,0.192,0.432,0.038,107,4,0.037383177570093455
