forecast_year,EAR_lag1,ROA_lag1,LLR_lag1,LIQ_lag1
2008,0.48298055620859054,0.0016378659763134312,-0.20605580682197547,-0.21175501644024142
2009,0.25459605257126994,0.1995931737937259,-0.16135093051184554,-0.24905056648800655
2010,-0.17718869580607308,0.7655891858509991,-0.3899046626062849,0.016139869139882922
2011,-0.17196351569544654,0.4991428170137202,-0.5346424830617258,0.17343087945119742
2012,-0.2322683516625125,0.5586630277098186,-0.4100402066700465,-0.02293720352227001
2013,-0.2253410018502788,0.5296849695784194,-0.2977483949370801,-0.23872049301747658
2014,-0.22287837900863658,0.6892060172280352,-0.2230672468551172,-0.4218365635380284
2015,-0.23079037706985567,0.6626244190570422,-0.17281287103628018,-0.5540504741318552
2016,-0.36620872124818826,0.6420417373564755,-0.14509777708670704,-0.6276518897574507
2017,-0.32284219009276877,0.6523656888375692,-0.15592939772983475,-0.5568279935817946
2018,-0.2005856676980779,0.38343874384612503,-0.10847944088255183,-0.6775484175918925
2019,-0.2631047381201702,0.4193296687657702,-0.09872512489038128,-0.6845108133091431
2020,-0.3058297325083957,0.4214529801759327,-0.0913125113513159,-0.6870222260495916
2021,-0.331791341843849,0.38692367336672423,-0.09114362465002823,-0.655870171222186
2022,-0.37571136207176054,0.309976171558908,-0.08649134591386465,-0.6568323673673866
2023,-0.3410926485263151,0.37401185439212614,-0.07023962850162462,-0.7235382475095509
2024,-0.41936873903685146,0.40506078588418293,-0.051857873739664724,-0.8108601233167212
