iteration,Model,AUC,Winner
54,LOGIT,0.46844919786096256,False
55,STRUCT,0.7915959252971138,True
55,HYBRID,0.5,False
55,LOGIT,0.6027164685908319,False
56,STRUCT,0.8269230769230769,True
56,HYBRID,0.5,False
56,LOGIT,0.5330009496676164,False
57,STRUCT,0.8289473684210527,True
57,HYBRID,0.5,False
57,LOGIT,0.597488038277512,False
58,STRUCT,0.8392156862745097,True
58,HYBRID,0.5,False
58,LOGIT,0.47516339869281043,False
59,STRUCT,0.7342245989304813,True
59,HYBRID,0.5,False
59,LOGIT,0.7213903743315508,False
60,STRUCT,0.7662337662337663,True
60,HYBRID,0.5,False
60,LOGIT,0.6071428571428571,False
61,STRUCT,0.8279569892473118,True
61,HYBRID,0.5,False
61,LOGIT,0.5168970814132104,False
62,STRUCT,0.8371320037986705,True
62,HYBRID,0.5,False
62,LOGIT,0.5835707502374169,False
63,STRUCT,0.8470731707317073,True
63,HYBRID,0.5,False
63,LOGIT,0.5221951219512195,False
64,STRUCT,0.878323932312651,True
64,HYBRID,0.5,False
64,LOGIT,0.41740531829170024,False
65,STRUCT,0.8304597701149425,True
65,HYBRID,0.5,False
65,LOGIT,0.4994252873563218,False
66,STRUCT,0.8687707641196013,True
66,HYBRID,0.5,False
66,LOGIT,0.5974529346622369,False
67,STRUCT,0.7176079734219268,True
67,HYBRID,0.5,False
67,LOGIT,0.4568106312292358,False
68,STRUCT,0.805622009569378,True
68,HYBRID,0.5,False
68,LOGIT,0.597188995215311,False
69,STRUCT,0.8935705368289637,True
69,HYBRID,0.5,False
69,LOGIT,0.5062421972534332,False
70,STRUCT,0.8126780626780628,True
70,HYBRID,0.5,False
70,LOGIT,0.6764007597340931,False
71,STRUCT,0.8942528735632185,True
71,HYBRID,0.5,False
71,LOGIT,0.5758620689655173,False
72,STRUCT,0.8190243902439024,True
72,HYBRID,0.5,False
72,LOGIT,0.5458536585365854,False
73,STRUCT,0.7680831826401447,True
73,HYBRID,0.5,False
73,LOGIT,0.5872513562386981,False
74,STRUCT,0.8739316239316239,True
74,HYBRID,0.5,False
74,LOGIT,0.461301044634378,False
75,STRUCT,0.8253588516746412,True
75,HYBRID,0.5,False
75,LOGIT,0.6166267942583732,False
76,STRUCT,0.9268292682926829,True
76,HYBRID,0.5,False
76,LOGIT,0.6160975609756099,False
77,STRUCT,0.8117386489479513,True
77,HYBRID,0.5,False
77,LOGIT,0.5337763012181617,False
78,STRUCT,0.7618845500848895,True
78,HYBRID,0.5,False
78,LOGIT,0.47198641765704585,False
79,STRUCT,0.9247815230961298,True
79,HYBRID,0.5,False
79,LOGIT,0.6039325842696629,False
80,STRUCT,0.8063414634146342,True
80,HYBRID,0.5,False
80,LOGIT,0.5443902439024391,False
81,STRUCT,0.7987637362637363,True
81,HYBRID,0.5,False
81,LOGIT,0.5995879120879121,False
82,STRUCT,0.7838855421686747,True
82,HYBRID,0.5,False
82,LOGIT,0.5258534136546185,False
83,STRUCT,0.8197560975609756,True
83,HYBRID,0.5,False
83,LOGIT,0.5402439024390244,False
84,STRUCT,0.8620833333333333,True
84,HYBRID,0.5,False
84,LOGIT,0.5879166666666666,False
85,STRUCT,0.7735943775100401,True
85,HYBRID,0.5,False
85,LOGIT,0.48694779116465864,False
86,STRUCT,0.8474537037037037,True
86,HYBRID,0.5,False
86,LOGIT,0.5594907407407408,False
87,STRUCT,0.8910455486542443,True
87,HYBRID,0.5,False
87,LOGIT,0.687111801242236,False
88,STRUCT,0.831045751633987,True
88,HYBRID,0.5,False
88,LOGIT,0.5532679738562092,False
89,STRUCT,0.8255693581780538,True
89,HYBRID,0.5,False
89,LOGIT,0.5561594202898551,False
90,STRUCT,0.886096256684492,True
90,HYBRID,0.5,False
90,LOGIT,0.6596256684491979,False
91,STRUCT,0.8316993464052287,True
91,HYBRID,0.5,False
91,LOGIT,0.5346405228758171,False
92,STRUCT,0.7929268292682926,True
92,HYBRID,0.5,False
92,LOGIT,0.6104878048780488,False
93,STRUCT,0.8388615888615889,True
93,HYBRID,0.5,False
93,LOGIT,0.5135135135135135,False
94,STRUCT,0.7971264367816091,True
94,HYBRID,0.5,False
94,LOGIT,0.6488505747126437,False
95,STRUCT,0.7942583732057417,True
95,HYBRID,0.5,False
95,LOGIT,0.6363636363636364,False
96,STRUCT,0.8826466916354556,True
96,HYBRID,0.5,False
96,LOGIT,0.6161048689138576,False
97,STRUCT,0.8534146341463414,True
97,HYBRID,0.5,False
97,LOGIT,0.4919512195121951,False
98,STRUCT,0.8267973856209151,True
98,HYBRID,0.5,False
98,LOGIT,0.5862745098039216,False
99,STRUCT,0.8636574074074075,True
99,HYBRID,0.5,False
99,LOGIT,0.5766203703703703,False
100,STRUCT,0.7700803212851406,True
100,HYBRID,0.5,False
100,LOGIT,0.4626004016064257,False
101,STRUCT,0.7749169435215947,True
101,HYBRID,0.5,False
101,LOGIT,0.5141196013289037,False
102,STRUCT,0.7454022988505747,True
102,HYBRID,0.5,False
102,LOGIT,0.6005747126436781,False
103,STRUCT,0.7452083333333334,True
103,HYBRID,0.5,False
103,LOGIT,0.4810416666666667,False
104,STRUCT,0.8154761904761905,True
104,HYBRID,0.5,False
104,LOGIT,0.6022256728778468,False
105,STRUCT,0.8087975243147657,True
105,HYBRID,0.5,False
105,LOGIT,0.6014588859416445,False
106,STRUCT,0.8320848938826467,True
106,HYBRID,0.5,False
106,LOGIT,0.6454431960049938,False
107,STRUCT,0.865605658709107,True
107,HYBRID,0.5,False
107,LOGIT,0.6193633952254641,False
108,STRUCT,0.8140522875816993,True
108,HYBRID,0.5,False
108,LOGIT,0.5447712418300653,False
109,STRUCT,0.8114942528735632,True
109,HYBRID,0.5,False
109,LOGIT,0.5227011494252873,False
110,STRUCT,0.8892682926829268,True
110,HYBRID,0.5,False
110,LOGIT,0.7004878048780488,False
111,STRUCT,0.8689189189189189,True
111,HYBRID,0.5,False
111,LOGIT,0.5463320463320464,False
112,STRUCT,0.8855614973262032,True
112,HYBRID,0.5,False
112,LOGIT,0.56951871657754,False
113,STRUCT,0.8253658536585365,True
113,HYBRID,0.5,False
113,LOGIT,0.6321951219512195,False
114,STRUCT,0.8119979919678715,True
114,HYBRID,0.5,False
114,LOGIT,0.5926204819277109,False
115,STRUCT,0.8941387559808611,True
115,HYBRID,0.5,False
115,LOGIT,0.5469497607655501,False
116,STRUCT,0.8035714285714285,True
116,HYBRID,0.5,False
116,LOGIT,0.6407867494824017,False
117,STRUCT,0.7954545454545454,True
117,HYBRID,0.5,False
117,LOGIT,0.5791443850267379,False
118,STRUCT,0.8186781609195403,True
118,HYBRID,0.5,False
118,LOGIT,0.6002873563218392,False
119,STRUCT,0.8662008281573499,True
119,HYBRID,0.5,False
119,LOGIT,0.5075051759834368,False
120,STRUCT,0.8719512195121951,True
120,HYBRID,0.5,False
120,LOGIT,0.4704878048780488,False
121,STRUCT,0.8241379310344827,True
121,HYBRID,0.5,False
121,LOGIT,0.506896551724138,False
122,STRUCT,0.8005698005698005,True
122,HYBRID,0.5,False
122,LOGIT,0.6752136752136753,False
123,STRUCT,0.8382183908045977,True
123,HYBRID,0.5,False
123,LOGIT,0.47729885057471266,False
124,STRUCT,0.8916666666666666,True
124,HYBRID,0.5,False
124,LOGIT,0.5813218390804598,False
125,STRUCT,0.801994301994302,True
125,HYBRID,0.5,False
125,LOGIT,0.5783475783475783,False
126,STRUCT,0.7757475083056478,True
126,HYBRID,0.5,False
126,LOGIT,0.5382059800664452,False
127,STRUCT,0.8445402298850576,True
127,HYBRID,0.5,False
127,LOGIT,0.6410919540229885,False
128,STRUCT,0.7919254658385093,True
128,HYBRID,0.5,False
128,LOGIT,0.5489130434782609,False
129,STRUCT,0.8628364389233956,True
129,HYBRID,0.5,False
129,LOGIT,0.5957556935817806,False
130,STRUCT,0.8002008032128514,True
130,HYBRID,0.5,False
130,LOGIT,0.6410642570281124,False
131,STRUCT,0.786875,True
131,HYBRID,0.5,False
131,LOGIT,0.5247916666666667,False
132,STRUCT,0.8292464114832536,True
132,HYBRID,0.5,False
132,LOGIT,0.3818779904306219,False
133,STRUCT,0.807754010695187,True
133,HYBRID,0.5,False
133,LOGIT,0.638235294117647,False
134,STRUCT,0.8495121951219512,True
134,HYBRID,0.5,False
134,LOGIT,0.6170731707317073,False
135,STRUCT,0.902811004784689,True
135,HYBRID,0.5,False
135,LOGIT,0.6360645933014354,False
136,STRUCT,0.7608796296296296,True
136,HYBRID,0.5,False
136,LOGIT,0.6273148148148149,False
137,STRUCT,0.8,True
137,HYBRID,0.5,False
137,LOGIT,0.4685185185185185,False
138,STRUCT,0.8381555153707052,True
138,HYBRID,0.5,False
138,LOGIT,0.581374321880651,False
139,STRUCT,0.8752587991718427,True
139,HYBRID,0.5,False
139,LOGIT,0.5595238095238095,False
140,STRUCT,0.8198757763975156,True
140,HYBRID,0.5,False
140,LOGIT,0.6904761904761905,False
141,STRUCT,0.8490054249547921,True
141,HYBRID,0.5,False
141,LOGIT,0.6577757685352622,False
142,STRUCT,0.808641975308642,True
142,HYBRID,0.5,False
142,LOGIT,0.5595916429249763,False
143,STRUCT,0.8626829268292684,True
143,HYBRID,0.5,False
143,LOGIT,0.6497560975609756,False
144,STRUCT,0.8708452041785375,True
144,HYBRID,0.5,False
144,LOGIT,0.5629154795821463,False
145,STRUCT,0.9066265060240964,True
145,HYBRID,0.5,False
145,LOGIT,0.5630020080321285,False
146,STRUCT,0.7784090909090909,True
146,HYBRID,0.5,False
146,LOGIT,0.5242224880382775,False
147,STRUCT,0.8502214839424141,True
147,HYBRID,0.5,False
147,LOGIT,0.5999446290143965,False
148,STRUCT,0.8502439024390244,True
148,HYBRID,0.5,False
148,LOGIT,0.6346341463414634,False
149,STRUCT,0.7259615384615385,True
149,HYBRID,0.5,False
149,LOGIT,0.6806318681318682,False
150,STRUCT,0.8339572192513368,True
150,HYBRID,0.5,False
150,LOGIT,0.6532085561497326,False
151,STRUCT,0.7847593582887701,True
151,HYBRID,0.5,False
151,LOGIT,0.5628342245989305,False
152,STRUCT,0.8564593301435406,True
152,HYBRID,0.5,False
152,LOGIT,0.5741626794258373,False
153,STRUCT,0.8938826466916354,True
153,HYBRID,0.5,False
153,LOGIT,0.5243445692883895,False
154,STRUCT,0.8609625668449198,True
154,HYBRID,0.5,False
154,LOGIT,0.6780748663101605,False
155,STRUCT,0.80070281124498,True
155,HYBRID,0.5,False
155,LOGIT,0.617218875502008,False
156,STRUCT,0.8795121951219512,True
156,HYBRID,0.5,False
156,LOGIT,0.6331707317073171,False
157,STRUCT,0.8520833333333333,True
157,HYBRID,0.5,False
157,LOGIT,0.5870833333333334,False
158,STRUCT,0.8079710144927537,True
158,HYBRID,0.5,False
158,LOGIT,0.5636645962732919,False
159,STRUCT,0.8273170731707317,True
159,HYBRID,0.5,False
159,LOGIT,0.6795121951219513,False
160,STRUCT,0.8734643734643736,True
160,HYBRID,0.5,False
160,LOGIT,0.5798525798525799,False
161,STRUCT,0.8820833333333333,True
161,HYBRID,0.5,False
161,LOGIT,0.5408333333333334,False
162,STRUCT,0.875299043062201,True
162,HYBRID,0.5,False
162,LOGIT,0.5322966507177033,False
163,STRUCT,0.8919540229885058,True
163,HYBRID,0.5,False
163,LOGIT,0.5982758620689655,False
164,STRUCT,0.8845193508114856,True
164,HYBRID,0.5,False
164,LOGIT,0.5337078651685393,False
165,STRUCT,0.8418674698795181,True
165,HYBRID,0.5,False
165,LOGIT,0.5155622489959839,False
166,STRUCT,0.7624584717607974,True
