Model,Brier,LogLoss,RMSE,AUC,AP,N,Events,Prevalence
STRUCT,0.12609926132966456,0.396610183410754,0.3551045780184544,0.8317805383022775,0.5901552168766308,107,23,0.21495327102803738
HYBRID,0.15978610358953005,0.48164839640114604,0.3997325400683938,0.7406832298136645,0.36282269347611357,107,23,0.21495327102803738
LAG,0.18691551401969153,2.5823392351309598,0.432337268830356,0.7388716356107661,0.42498171475010166,107,23,0.21495327102803738
NAIVE,0.17763377311606654,0.5416869563292129,0.421466218238267,0.5271739130434783,0.23013886366624142,107,23,0.21495327102803738
LOGIT,0.2120632774797484,0.6859028227925216,0.46050328715411837,0.4723084886128364,0.2635749418290677,107,23,0.21495327102803738
