,EAR_lag1,ROA_lag1,LLR_lag1,LIQ_lag1
EAR_lag1,1.0,0.3864568422086881,-0.03961845208498505,-0.10452119744527788
ROA_lag1,0.3864568422086881,1.0,-0.005587522426237936,0.1076751393815805
LLR_lag1,-0.03961845208498505,-0.005587522426237936,1.0,0.5469796294787675
LIQ_lag1,-0.10452119744527788,0.1076751393815805,0.5469796294787675,1.0
