Model,Brier,LogLoss,RMSE,AUC,AP,N,Events,Prevalence
STRUCT,0.111,0.352,0.333,0.734,0.227,89,10,0.11235955056179775
HYBRID,0.105,0.357,0.325,0.658,0.182,89,10,0.11235955056179775
LOGIT,0.12,0.411,0.346,0.639,0.214,89,10,0.11235955056179775
NAIVE,0.112,0.388,0.334,0.634,0.172,89,10,0.11235955056179775
LAG,0.18,2.484,0.424,0.593,0.154,89,10,0.11235955056179775
