Model,Brier,LogLoss,RMSE,AUC,AP,N,Events,Prevalence
STRUCT,0.12609926132966456,0.396610183410754,0.3551045780184544,0.8317805383022775,0.5901552168766308,107,23,0.21495327102803738
HYBRID,0.14520174766123614,0.44860543442000317,0.3810534708689007,0.7712215320910973,0.4247747729602293,107,23,0.21495327102803738
LAG,0.18691551401969153,2.5823392351309598,0.432337268830356,0.7388716356107661,0.42498171475010166,107,23,0.21495327102803738
LOGIT,0.203773320456726,0.6177889401415086,0.4514125834053876,0.5771221532091098,0.2777440721412769,107,23,0.21495327102803738
NAIVE,0.17763377311606654,0.5416869563292129,0.421466218238267,0.5271739130434783,0.23013886366624142,107,23,0.21495327102803738
